"","""Overall"""
"""n""","1761"
"""Treatment Arm (%)""",""
"""   Control""","432 (24.5)"
"""   Nutrition""","435 (24.7)"
"""   Nutrition + WSH""","451 (25.6)"
"""   WSH""","443 (25.2)"
"""Length-for-age Z score (3 mo) (median [IQR])""","-1.29 [-1.99, -0.58]"
"""Weight-for-age Z score (3 mo) (median [IQR])""","-1.21 [-1.86, -0.57]"
"""Length-for-age Z score (14 mo) (median [IQR])""","-1.39 [-2.07, -0.75]"
"""Weight-for-age Z score (14 mo) (median [IQR])""","-1.31 [-2.00, -0.63]"
"""Maternal Depressive Symptoms (17 mo) (median [IQR])""","24.00 [8.00, 47.00]"
"""Maternal Depressive Symptoms (25 mo) (median [IQR])""","24.00 [7.00, 54.00]"
"""Maternal Perceived Stress Scale (PSS) (25 mo) (median [IQR])""","12.00 [7.00, 32.00]"
"""sex = male (%)""","890 (50.5)"
"""Cumulative maternal exposure to intimate partner violence = 1 (%)""","836 (57.1)"
"""Birth Order (%)""",""
"""   first""","597 (33.9)"
"""   second or greater""","1055 (59.9)"
"""   missing""","109 (6.2)"
"""Maternal Age (median [IQR])""","23.00 [20.00, 27.00]"
"""Maternal Height (median [IQR])""","150.30 [146.80, 154.10]"
"""Highest Completed Schooling (Years), mom (%)""",""
"""   No education""","248 (14.1)"
"""   Primary (1-5y)""","498 (28.3)"
"""   Secondary (>5y)""","1015 (57.6)"
"""Household food insecurity (%)""",""
"""   Mildly Food Insecure""","147 (8.3)"
"""   Moderately Food Insecure""","310 (17.6)"
"""   Severely Food Insecure""","60 (3.4)"
"""   Food Secure""","1244 (70.6)"
"""Number of children < 18 years old (median [IQR])""","1.00 [1.00, 2.00]"
"""Total individuals in compound (median [IQR])""","9.00 [6.00, 14.00]"
"""Minutes to primary water source (median [IQR])""","0.00 [0.00, 1.00]"
"""Housing material, improved walls = 1 (%)""","1137 (64.6)"
"""Housing material, improved floor = 1 (%)""","229 (13.0)"
"""Housing material, improved roof = 1 (%)""","1739 (98.8)"
"""Household wealth index (median [IQR])""","3.28 [1.00, 8.99]"
